WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,DAY,MONTH,YEAR
5.91,0,0.0,0.0,19.0,0.0,9.8,1.7,1970,6,6
5.04,0,0.0,0.0,21.5,0.0,10.4,5.0,1970,6,7
3.42,0,0.0,0.0,21.5,0.0,11.8,6.5,1970,6,8
1.46,0,0.0,0.0,23.5,0.0,11.5,10.5,1970,6,9
1.63,0,0.0,0.0,25.3,0.0,11.4,11.4,1970,6,10
2.42,0,0.0,0.0,22.5,0.0,13.6,9.9,1970,6,11
2.25,0,0.0,0.0,18.2,0.0,13.5,10.9,1970,6,12
3.13,0,0.0,0.0,20.9,0.0,13.1,11.5,1970,6,13
5.21,0,0.0,0.0,19.4,0.0,13.0,8.4,1970,6,14
1.75,0,0.0,0.0,22.4,0.0,8.6,4.5,1970,6,15
9.25,0,0.0,0.0,16.8,0.0,10.8,8.0,1970,6,16
11.96,0,1.3,0.0,18.6,0.0,12.2,10.4,1970,6,17
2.0,0,2.3,0.0,19.5,0.0,13.5,12.5,1970,6,18
2.42,0,0.0,0.0,21.2,0.0,13.8,13.2,1970,6,19
7.21,0,0.0,0.0,19.8,0.0,14.0,12.0,1970,6,20
8.92,0,1.6,0.0,20.0,0.0,11.4,9.6,1970,6,22
8.33,0,2.8,0.0,18.0,0.0,10.5,8.0,1970,6,23
14.5,0,0.4,0.0,19.2,0.0,13.4,13.0,1970,6,24
9.29,0,0.0,0.0,19.5,0.0,10.7,8.0,1970,6,25
7.83,0,2.2,0.0,18.0,0.0,13.0,9.0,1970,6,26
4.79,0,10.2,0.0,18.5,0.0,12.0,7.5,1970,6,27
13.67,0,1.5,0.0,17.2,0.0,12.5,11.2,1970,6,28
15.92,0,1.4,0.0,16.8,0.0,10.0,8.0,1970,6,29
7.87,0,2.2,0.0,16.0,0.0,9.8,5.0,1970,6,30
19.95,0,2.2,0.0,16.1,0.0,10.5,8.3,1970,7,1
18.29,0,0.0,0.0,16.7,0.0,10.0,7.4,1970,7,2
9.42,0,0.2,0.0,18.8,0.0,9.1,5.0,1970,7,3
12.12,0,0.3,0.0,19.5,0.0,13.8,13.0,1970,7,4
9.0,0,0.0,0.0,23.0,0.0,12.1,8.6,1970,7,5
7.08,0,0.0,0.0,22.6,0.0,15.4,13.7,1970,7,6
3.21,0,0.0,0.0,20.2,0.0,12.2,6.1,1970,7,7
6.34,0,5.4,0.0,22.0,0.0,14.9,9.4,1970,7,8
12.62,0,0.4,0.0,16.7,0.0,10.5,8.9,1970,7,9
10.79,0,3.8,0.0,18.3,0.0,9.0,5.0,1970,7,10
15.87,0,0.0,0.0,18.0,0.0,12.0,8.0,1970,7,11
17.5,0,0.0,0.0,24.0,0.0,13.4,11.9,1970,7,12
14.58,0,3.7,0.0,18.4,0.0,12.9,10.0,1970,7,13
12.87,0,0.3,0.0,16.4,0.0,9.4,8.8,1970,7,14
12.46,0,0.0,0.0,17.0,0.0,8.6,5.0,1970,7,15
7.41,0,0.0,0.0,20.0,0.0,8.7,4.1,1970,7,16
8.71,0,0.0,0.0,22.6,0.0,12.6,9.6,1970,7,17
11.04,0,2.5,0.0,21.8,0.0,13.9,12.5,1970,7,18
8.21,0,0.0,0.0,17.8,0.0,12.5,11.5,1970,7,19
9.33,0,0.5,0.0,15.5,0.0,7.6,4.0,1970,7,20
9.17,0,0.0,0.0,16.1,0.0,7.4,2.4,1970,7,21
5.79,0,5.5,0.0,19.6,0.0,5.8,-1.0,1970,7,22
4.58,0,11.1,0.0,23.2,0.0,12.3,11.6,1970,7,23
10.79,0,6.0,0.0,21.1,0.0,14.2,12.6,1970,7,24
10.34,0,7.1,0.0,19.0,0.0,9.7,6.5,1970,7,25
8.08,0,9.8,0.0,19.0,0.0,12.5,7.5,1970,7,26
7.79,0,0.3,0.0,21.2,0.0,14.5,14.0,1970,7,27
7.41,0,1.0,0.0,20.0,0.0,12.0,7.5,1970,7,28
6.96,0,0.0,0.0,18.2,0.0,10.0,5.0,1970,7,29
12.17,4,0.0,0.0,21.6,0.0,13.0,9.8,1970,7,30
4.67,0,0.1,0.0,19.8,0.0,16.0,14.8,1970,7,31
2.58,0,0.0,0.0,21.0,0.0,15.6,13.8,1970,8,1
2.62,0,0.0,0.0,21.6,0.0,15.0,14.2,1970,8,2
4.5,0,14.8,0.0,22.2,0.0,12.2,6.6,1970,8,3
2.25,0,0.1,0.0,21.5,0.0,14.8,12.6,1970,8,4
5.37,0,0.1,0.0,16.6,0.0,13.3,6.8,1970,8,5
3.04,0,0.7,0.0,16.6,0.0,14.8,11.4,1970,8,6
1.29,0,0.0,0.0,17.0,0.0,13.0,11.0,1970,8,7
4.46,0,0.0,0.0,16.6,0.0,12.8,11.1,1970,8,8
13.13,0,1.5,0.0,19.7,0.0,13.0,10.6,1970,8,9
8.29,0,0.2,0.0,19.8,0.0,14.7,14.5,1970,8,10
3.17,0,0.0,0.0,20.0,0.0,9.6,4.8,1970,8,11
4.96,0,3.3,0.0,22.7,0.0,15.4,13.0,1970,8,12
7.5,0,5.6,0.0,18.2,0.0,16.3,13.3,1970,8,13
7.96,0,0.8,0.0,17.2,0.0,10.0,5.0,1970,8,14
10.37,0,23.1,0.0,17.6,0.0,10.6,5.5,1970,8,15
20.75,0,0.0,0.0,16.0,0.0,10.4,9.7,1970,8,16
10.41,4,0.0,0.0,17.5,0.0,8.1,4.5,1970,8,17
1.21,4,0.0,0.0,14.8,0.0,9.2,5.2,1970,8,18
5.88,0,0.0,0.0,17.6,0.0,9.8,3.8,1970,8,19
13.5,0,1.0,0.0,18.0,0.0,11.5,8.0,1970,8,20
10.88,0,6.2,0.0,17.2,0.0,11.6,10.6,1970,8,21
6.34,4,0.0,0.0,17.6,0.0,13.4,12.0,1970,8,22
1.42,0,0.0,0.0,17.0,0.0,10.0,5.2,1970,8,23
1.75,0,0.0,0.0,20.2,0.0,9.8,3.9,1970,8,24
1.21,0,0.0,0.0,19.5,0.0,10.1,9.0,1970,8,25
0.37,0,0.0,0.0,15.8,0.0,9.6,10.6,1970,8,26
1.25,0,0.0,0.0,18.3,0.0,8.5,9.2,1970,8,27
1.0,0,0.0,0.0,18.9,0.0,9.6,7.0,1970,8,28
4.67,0,0.0,0.0,23.8,0.0,11.3,5.2,1970,8,29
9.42,0,0.7,0.0,20.2,0.0,12.9,7.6,1970,8,30
11.38,0,4.0,0.0,18.3,0.0,10.2,7.0,1970,9,1
11.29,0,1.0,0.0,20.4,0.0,13.0,11.0,1970,9,2
7.17,0,0.0,0.0,15.6,0.0,11.2,7.5,1970,9,3
12.92,0,0.0,0.0,19.1,0.0,12.6,10.2,1970,9,4
10.34,0,0.1,0.0,19.7,0.0,12.3,8.0,1970,9,5
5.17,0,0.0,0.0,21.2,0.0,12.3,8.0,1970,9,6
5.71,0,6.8,0.0,19.5,0.0,10.8,3.0,1970,9,7
11.63,0,1.4,0.0,16.6,0.0,13.2,11.4,1970,9,8
22.37,0,0.8,0.0,16.8,0.0,12.5,9.5,1970,9,9
15.71,0,1.3,0.0,14.8,0.0,10.6,9.0,1970,9,10
5.54,0,0.9,0.0,15.0,0.0,6.8,3.4,1970,9,12
5.58,0,2.2,0.0,15.4,0.0,5.2,1.2,1970,9,13
5.04,4,0.0,0.0,16.6,0.0,6.0,2.8,1970,9,14
5.96,0,6.1,0.0,15.1,0.0,7.2,4.3,1970,9,15
9.75,0,0.9,0.0,17.5,0.0,4.8,0.3,1970,9,16
19.08,0,5.6,0.0,19.2,0.0,10.0,11.0,1970,9,17
0.54,0,2.8,0.0,14.8,0.0,12.6,11.0,1970,9,18
4.0,0,0.2,0.0,18.4,0.0,7.8,4.8,1970,9,19
4.08,0,0.0,0.0,21.8,0.0,12.5,12.3,1970,9,20
3.17,0,0.0,0.0,17.0,0.0,10.8,5.6,1970,9,21
6.54,0,0.6,0.0,19.6,0.0,13.2,10.2,1970,9,22
4.54,0,0.0,0.0,19.4,0.0,13.7,9.5,1970,9,23
1.17,0,0.0,0.0,19.8,0.0,10.0,9.8,1970,9,24
4.5,0,10.5,0.0,18.0,0.0,10.0,5.3,1970,9,25
10.75,0,0.3,0.0,17.1,0.0,14.9,13.0,1970,9,26
3.13,0,1.1,0.0,17.6,0.0,9.6,4.1,1970,9,27
4.67,0,0.2,0.0,19.0,0.0,12.0,7.5,1970,9,28
13.17,0,2.3,0.0,17.4,0.0,9.8,7.3,1970,9,29
12.08,0,0.5,0.0,14.5,0.0,11.2,9.0,1970,9,30
17.29,4,0.0,0.0,16.6,0.0,11.0,9.0,1970,10,1
20.62,4,0.0,0.0,12.2,0.0,10.4,7.5,1970,10,2
11.75,0,0.6,0.0,15.1,0.0,8.0,4.8,1970,10,3
18.75,0,6.4,0.0,16.4,0.0,11.2,10.6,1970,10,4
14.88,0,0.5,0.0,13.8,0.0,9.4,7.3,1970,10,5
11.63,0,0.0,0.0,13.0,0.0,6.7,4.0,1970,10,6
8.25,0,0.4,0.0,13.4,0.0,5.4,2.5,1970,10,7
4.42,0,0.7,0.0,12.5,0.0,3.0,-1.0,1970,10,8
4.17,0,0.0,0.0,14.5,0.0,1.5,-3.2,1970,10,9
3.25,0,0.0,0.0,15.4,0.0,5.9,1.6,1970,10,10
3.04,0,3.3,0.0,15.2,0.0,8.0,0.4,1970,10,11
6.13,0,0.0,0.0,16.5,0.0,11.3,5.6,1970,10,12
8.12,0,0.0,0.0,18.6,0.0,12.5,8.1,1970,10,13
6.08,0,0.0,0.0,17.6,0.0,12.1,8.2,1970,10,14
6.13,0,0.0,0.0,15.2,0.0,8.1,3.9,1970,10,15
4.12,0,0.0,0.0,14.5,0.0,12.6,10.0,1970,10,16
5.88,0,0.0,0.0,15.6,0.0,8.0,2.5,1970,10,17
19.62,0,1.0,0.0,14.7,0.0,9.1,5.4,1970,10,18
18.58,0,0.7,0.0,11.5,0.0,7.9,4.7,1970,10,19
16.33,4,0.0,0.0,8.5,0.0,4.2,1.0,1970,10,20
10.96,4,0.0,0.0,9.1,0.0,4.0,-0.1,1970,10,21
6.87,0,0.0,0.0,11.2,0.0,6.0,2.0,1970,10,22
12.25,0,0.0,0.0,14.0,0.0,8.0,6.6,1970,10,23
15.87,0,0.9,0.0,15.4,0.0,10.2,11.0,1970,10,24
12.21,0,6.1,0.0,12.8,0.0,11.2,10.2,1970,10,25
8.54,0,6.2,0.0,12.0,0.0,6.4,2.5,1970,10,26
10.17,0,5.9,0.0,13.5,0.0,4.6,-2.0,1970,10,27
9.33,0,1.0,0.0,15.8,0.0,8.8,8.0,1970,10,28
13.17,0,0.6,0.0,16.5,0.0,9.2,8.8,1970,10,29
12.46,0,15.3,0.0,16.5,0.0,11.4,8.0,1970,10,30
16.25,0,0.4,0.0,18.9,0.0,10.0,9.2,1970,10,31
11.46,0,12.0,0.0,15.5,0.0,8.5,5.5,1970,11,1
13.33,0,0.5,0.0,14.5,0.0,8.5,8.1,1970,11,2
23.75,0,0.6,0.0,11.8,0.0,9.2,6.6,1970,11,3
12.92,0,0.2,0.0,12.5,0.0,7.4,4.7,1970,11,4
13.5,0,0.7,0.0,12.0,0.0,7.1,3.7,1970,11,5
7.33,0,28.3,0.0,9.5,0.0,5.4,1.9,1970,11,6
9.71,0,0.0,0.0,9.9,0.0,6.5,6.5,1970,11,7
14.42,0,2.5,0.0,11.7,0.0,1.8,-4.1,1970,11,8
15.75,0,2.3,0.0,11.4,0.0,8.0,5.0,1970,11,9
10.96,0,4.4,0.0,14.0,0.0,7.6,6.3,1970,11,10
11.92,0,0.7,0.0,9.6,0.0,8.5,6.8,1970,11,11
15.09,0,0.1,0.0,7.4,0.0,3.0,0.0,1970,11,12
8.75,0,0.0,0.0,6.6,0.0,2.0,-1.0,1970,11,13
8.25,0,0.0,0.0,6.5,1.0,-0.1,-6.0,1970,11,14
6.04,0,4.4,0.0,8.0,1.0,-1.1,-8.5,1970,11,15
10.75,0,0.0,0.0,8.8,1.0,-0.4,-2.1,1970,11,16
4.92,0,9.9,0.0,8.8,0.0,6.0,3.0,1970,11,17
8.96,0,9.8,0.0,8.2,1.0,-0.9,-6.5,1970,11,18
9.5,0,4.0,0.0,8.5,1.0,-0.9,0.0,1970,11,19
7.92,0,9.8,0.0,7.6,1.0,-1.5,-9.0,1970,11,20
10.21,4,0.0,0.0,6.6,0.0,2.5,-0.6,1970,11,21
5.79,0,13.6,0.0,9.5,0.0,1.6,-5.0,1970,11,22
12.0,0,6.8,0.0,14.6,0.0,5.5,0.3,1970,11,23
11.21,0,0.7,0.0,14.8,0.0,9.2,7.9,1970,11,25
7.21,0,4.1,0.0,11.4,0.0,10.0,4.5,1970,11,26
9.54,0,4.3,0.0,13.4,0.0,9.1,2.5,1970,11,27
9.96,0,0.1,0.0,12.9,0.0,10.9,8.5,1970,11,28
2.21,0,3.4,0.0,9.1,0.0,6.6,1.5,1970,11,29
7.83,4,0.0,0.0,8.4,0.0,5.5,2.4,1970,11,30
9.33,0,0.0,0.0,9.2,0.0,4.4,-0.8,1970,12,1
14.75,0,0.5,0.0,11.8,0.0,5.0,4.0,1970,12,2
6.96,0,5.0,0.0,12.2,0.0,8.2,6.4,1970,12,3
12.5,0,0.2,0.0,9.4,0.0,5.6,0.0,1970,12,4
13.75,0,3.5,0.0,9.4,0.0,5.8,2.0,1970,12,5
17.33,0,2.1,0.0,8.5,0.0,5.6,1.2,1970,12,6
7.54,0,0.0,0.0,8.0,0.0,5.1,0.0,1970,12,7
3.46,0,0.0,0.0,7.0,1.0,-1.0,-7.8,1970,12,8
1.79,0,0.1,0.0,7.5,1.0,-3.2,-10.0,1970,12,9
9.21,0,0.4,0.0,10.4,0.0,6.0,4.5,1970,12,11
8.17,0,1.9,0.0,10.5,0.0,6.6,5.5,1970,12,12
6.79,0,0.0,0.0,7.8,0.0,3.0,-0.4,1970,12,13
2.42,0,0.7,0.0,9.6,1.0,-2.8,-10.0,1970,12,14
5.04,0,0.0,0.0,11.4,1.0,-2.6,-4.5,1970,12,15
10.96,0,0.2,0.0,12.2,1.0,-0.9,-7.1,1970,12,16
7.62,0,0.5,0.0,12.5,0.0,5.1,5.0,1970,12,17
9.83,0,0.0,0.0,13.1,0.0,7.5,5.0,1970,12,18
12.75,0,0.9,0.0,13.5,0.0,11.6,8.9,1970,12,19
6.13,4,0.0,0.0,7.5,0.0,0.1,-6.8,1970,12,20
5.83,0,0.0,0.0,5.5,0.0,1.2,-4.5,1970,12,21
5.96,4,0.0,0.0,6.4,0.0,0.1,-4.8,1970,12,22
10.13,0,1.1,0.0,7.7,1.0,-1.2,-8.0,1970,12,23
9.42,0,2.7,0.0,6.4,0.0,0.4,-0.5,1970,12,24
8.42,0,4.5,0.0,4.8,0.0,3.2,-0.9,1970,12,25
13.33,0,3.3,0.0,6.2,0.0,0.8,-7.2,1970,12,26
11.58,0,13.0,0.0,3.8,0.0,1.6,-2.0,1970,12,27
7.21,0,10.2,0.0,5.6,0.0,1.8,-0.5,1970,12,28
17.88,0,1.1,0.0,5.6,0.0,2.0,-0.8,1970,12,29
13.79,0,0.0,0.0,4.3,0.0,4.0,1.5,1970,12,30
4.83,0,0.5,0.0,2.0,1.0,-1.9,-8.5,1970,12,31
8.21,0,0.0,0.0,4.8,1.0,-0.8,-5.0,1971,2,1
11.67,0,0.3,0.0,8.8,1.0,-4.0,-11.0,1971,2,2
3.5,4,0.0,0.0,8.2,0.0,6.5,5.5,1971,2,4
4.96,0,0.0,0.0,8.6,0.0,7.0,5.2,1971,2,5
2.83,0,0.0,0.0,6.6,0.0,4.8,3.5,1971,2,6
7.08,0,0.0,0.0,7.5,0.0,5.4,4.6,1971,2,7
6.79,0,0.0,0.0,8.8,0.0,1.6,-4.4,1971,2,8
8.67,0,0.0,0.0,8.9,0.0,6.2,0.4,1971,2,9
5.71,0,0.4,0.0,9.4,0.0,6.1,1.2,1971,2,10
5.0,0,2.6,0.0,9.0,0.0,5.2,3.6,1971,2,11
21.71,0,5.0,0.0,11.1,0.0,5.4,3.6,1971,2,12
19.62,0,0.5,0.0,6.5,0.0,3.0,0.9,1971,2,13
18.5,0,1.1,0.0,7.5,0.0,1.9,-0.5,1971,2,14
9.54,0,4.9,0.0,4.1,0.0,0.0,-3.2,1971,2,15
11.96,0,0.7,0.0,7.8,1.0,-2.4,-10.8,1971,2,16
13.21,0,4.2,0.0,9.9,0.0,2.0,-3.6,1971,2,17
11.71,0,0.0,0.0,9.8,0.0,4.3,0.9,1971,2,18
5.91,0,1.8,0.0,11.4,0.0,2.1,-3.1,1971,2,19
17.04,0,0.7,0.0,11.6,0.0,4.5,2.1,1971,2,20
12.08,0,0.2,0.0,10.1,0.0,4.6,0.6,1971,2,21
6.25,4,0.0,0.0,10.8,1.0,-1.0,-8.2,1971,2,22
6.58,4,0.0,0.0,10.0,0.0,2.2,-5.0,1971,2,23
3.17,4,0.0,0.0,11.3,0.0,4.2,-1.5,1971,2,24
2.33,4,0.0,0.0,8.6,0.0,5.2,3.6,1971,2,25
2.54,0,5.0,0.0,10.4,0.0,3.2,-4.5,1971,2,26
2.62,0,2.9,0.0,8.8,0.0,6.5,5.4,1971,2,27
3.04,0,4.5,0.0,9.0,0.0,7.0,3.5,1971,2,28
6.71,0,4.7,0.0,9.2,0.0,7.0,5.5,1971,3,1
7.87,0,0.0,0.0,9.7,0.0,1.2,-4.5,1971,3,2
6.38,0,0.0,0.0,9.5,0.0,1.2,-2.8,1971,3,3
8.25,0,0.0,0.0,6.4,0.0,3.0,-0.5,1971,3,4
8.58,0,0.1,0.0,7.0,0.0,0.4,-3.0,1971,3,5
6.87,0,0.0,0.0,6.8,0.0,2.0,1.0,1971,3,6
3.42,0,0.0,0.0,7.7,0.0,1.5,-2.5,1971,3,7
2.25,0,0.0,0.0,8.0,0.0,1.3,-1.2,1971,3,8
6.71,0,0.0,0.0,11.2,0.0,3.4,4.1,1971,3,9
7.0,0,0.3,0.0,11.7,0.0,0.0,-4.2,1971,3,10
8.92,0,0.0,0.0,12.0,0.0,4.9,4.7,1971,3,11
13.29,0,0.0,0.0,12.5,0.0,6.0,4.1,1971,3,12
4.71,0,4.4,0.0,8.7,0.0,6.0,4.0,1971,3,13
3.25,0,0.1,0.0,9.1,0.0,1.4,0.4,1971,3,14
4.33,0,0.1,0.0,7.4,1.0,-1.3,-5.2,1971,3,15
8.21,0,0.2,0.0,8.5,1.0,-2.6,-7.0,1971,3,16
11.21,0,14.6,0.0,6.6,0.0,2.4,-0.4,1971,3,17
23.25,0,38.0,0.0,5.6,0.0,3.5,3.6,1971,3,18
24.25,0,4.0,0.0,4.8,0.0,3.0,2.0,1971,3,19
19.08,0,0.2,0.0,5.8,0.0,3.0,1.8,1971,3,20
12.12,0,0.0,0.0,8.2,0.0,0.6,-2.0,1971,3,21
5.96,0,0.0,0.0,8.0,0.0,1.9,-2.0,1971,3,22
12.21,0,0.4,0.0,11.5,0.0,4.5,2.0,1971,3,23
15.92,0,3.0,0.0,13.0,0.0,8.0,7.0,1971,3,24
14.83,0,1.4,0.0,11.1,0.0,3.8,1.5,1971,3,25
10.92,0,0.0,0.0,8.6,0.0,3.4,1.0,1971,3,26
5.79,0,0.1,0.0,10.6,0.0,1.3,-3.0,1971,3,27
3.21,0,0.4,0.0,10.8,0.0,7.5,6.9,1971,3,29
2.04,0,0.4,0.0,9.6,0.0,7.0,4.0,1971,3,30
3.42,0,0.0,0.0,10.0,0.0,6.3,4.5,1971,3,31
9.29,0,0.4,0.0,10.3,0.0,6.0,3.6,1971,4,1
14.79,0,0.7,0.0,8.0,0.0,6.0,4.5,1971,4,2
12.96,0,0.0,0.0,8.6,0.0,4.0,2.0,1971,4,3
8.25,0,0.0,0.0,8.2,0.0,3.9,0.6,1971,4,4
1.46,0,3.6,0.0,8.6,0.0,5.7,5.0,1971,4,5
1.42,4,0.0,0.0,10.5,0.0,3.4,-0.8,1971,4,6
2.92,4,0.0,0.0,10.1,0.0,2.6,-2.0,1971,4,7
6.63,0,0.0,0.0,10.0,0.0,1.6,-3.0,1971,4,8
5.17,4,0.0,0.0,11.0,0.0,5.4,0.6,1971,4,9
4.33,4,0.0,0.0,11.0,0.0,1.5,-3.5,1971,4,10
1.42,0,0.0,0.0,14.0,0.0,4.0,-4.5,1971,4,11
5.79,0,0.0,0.0,13.4,0.0,1.7,-2.4,1971,4,12
5.63,0,0.0,0.0,12.8,0.0,7.2,3.0,1971,4,13
2.13,0,0.0,0.0,12.7,0.0,7.3,-0.5,1971,4,14
2.29,0,0.5,0.0,15.5,0.0,8.1,3.2,1971,4,15
12.0,0,2.2,0.0,11.0,0.0,7.0,4.5,1971,4,16
13.75,0,0.0,0.0,11.9,0.0,0.3,-5.0,1971,4,17
15.83,0,0.0,0.0,15.0,0.0,6.7,7.5,1971,4,18
6.38,0,0.4,0.0,15.0,0.0,9.4,7.6,1971,4,19
3.88,0,0.8,0.0,11.7,0.0,7.0,3.2,1971,4,20
7.5,0,13.3,0.0,16.2,0.0,8.0,2.5,1971,4,21
1.5,0,7.3,0.0,12.4,0.0,9.2,8.4,1971,4,22
11.25,1,14.7,0.0,7.4,0.0,6.2,6.0,1971,4,23
12.62,1,4.8,0.0,8.8,0.0,5.6,4.6,1971,4,24
8.46,0,0.0,0.0,10.1,0.0,0.9,-5.3,1971,4,25
11.21,0,0.0,0.0,9.5,0.0,4.1,4.8,1971,4,26
3.83,0,0.0,0.0,10.6,0.0,1.4,-5.0,1971,4,27
2.37,0,0.0,0.0,12.4,1.0,-0.8,-7.0,1971,4,28
2.75,4,0.0,0.0,10.3,0.0,7.2,4.0,1971,4,29
2.83,4,0.0,0.0,10.6,0.0,6.2,3.0,1971,4,30
1.42,0,0.0,0.0,13.0,0.0,0.1,-4.5,1971,5,1
3.5,0,0.0,0.0,15.6,0.0,0.5,-4.0,1971,5,2
4.33,0,0.0,0.0,15.7,0.0,3.6,-1.3,1971,5,3
5.41,0,0.0,0.0,14.8,0.0,1.5,-3.5,1971,5,4
7.21,0,0.6,0.0,16.5,0.0,2.3,-2.0,1971,5,5
6.54,0,4.1,0.0,14.2,0.0,10.3,7.2,1971,5,6
8.63,0,0.4,0.0,15.6,0.0,9.6,5.5,1971,5,7
7.87,0,0.0,0.0,16.8,0.0,6.6,1.0,1971,5,8
11.46,0,0.5,0.0,16.7,0.0,10.5,7.8,1971,5,9
10.04,0,0.0,0.0,20.5,0.0,10.8,9.4,1971,5,10
1.63,4,0.0,0.0,14.8,0.0,7.5,2.2,1971,5,11
5.17,0,0.0,0.0,16.1,0.0,5.7,0.1,1971,5,12
7.17,0,0.0,0.0,15.4,0.0,9.7,5.0,1971,5,13
4.42,0,1.4,0.0,16.5,0.0,9.0,4.0,1971,5,14
11.12,0,0.0,0.0,12.9,0.0,7.7,5.4,1971,5,15
9.46,0,1.5,0.0,13.0,0.0,5.0,1.4,1971,5,16
7.38,0,1.5,0.0,14.7,0.0,4.2,-1.8,1971,5,17
4.25,4,0.0,0.0,16.0,0.0,5.4,1.0,1971,5,18
1.54,0,0.0,0.0,14.8,0.0,4.5,-0.5,1971,5,19
1.21,4,0.0,0.0,14.2,0.0,10.4,9.4,1971,5,20
3.46,0,0.0,0.0,14.6,0.0,4.4,-0.2,1971,5,21
3.0,0,11.2,0.0,12.5,0.0,6.6,1.8,1971,5,22
4.67,0,2.6,0.0,11.7,0.0,8.8,8.2,1971,5,23
7.04,0,0.0,0.0,14.6,0.0,10.3,9.5,1971,5,25
7.46,0,1.0,0.0,16.2,0.0,4.4,-1.0,1971,5,26
10.63,0,0.2,0.0,14.3,0.0,4.5,1.4,1971,5,27
8.5,0,0.4,0.0,13.5,0.0,5.3,2.0,1971,5,28
6.17,0,4.0,0.0,13.5,0.0,4.4,-0.9,1971,5,29
4.88,4,0.0,0.0,15.5,0.0,10.5,9.0,1971,5,30
4.04,4,0.0,0.0,16.5,0.0,9.4,5.9,1971,5,31
6.42,4,0.0,0.0,15.8,0.0,7.1,1.7,1971,6,1
6.13,0,0.0,0.0,20.2,0.0,10.0,8.0,1971,6,2
8.63,0,0.2,0.0,17.0,0.0,10.7,6.0,1971,6,3
9.96,0,0.0,0.0,16.0,0.0,10.8,9.0,1971,6,4
7.75,0,0.0,0.0,14.3,0.0,10.7,7.3,1971,6,5
4.71,0,1.2,0.0,14.2,0.0,10.9,8.6,1971,6,6
4.0,0,0.5,0.0,13.6,0.0,10.6,9.5,1971,6,7
4.38,0,4.2,0.0,13.8,0.0,10.1,7.6,1971,6,8
10.13,0,0.8,0.0,13.2,0.0,9.0,7.8,1971,6,9
8.29,4,0.0,0.0,14.8,0.0,9.0,8.0,1971,6,10
9.54,0,23.3,0.0,14.0,0.0,9.2,5.5,1971,6,11
4.5,0,0.2,0.0,13.8,0.0,9.2,9.0,1971,6,12
3.88,0,0.1,0.0,15.0,0.0,6.2,1.5,1971,6,13
9.67,4,0.0,0.0,14.0,0.0,7.6,1.6,1971,6,14
8.04,0,0.7,0.0,14.4,0.0,4.0,0.1,1971,6,15
9.75,0,0.3,0.0,16.0,0.0,4.5,4.5,1971,6,16
6.21,0,9.8,0.0,16.2,0.0,5.2,1.0,1971,6,17
7.96,1,11.8,0.0,15.5,0.0,9.2,6.3,1971,6,18
7.41,1,6.3,0.0,14.5,0.0,11.0,11.2,1971,6,19
11.25,0,1.2,0.0,17.5,0.0,10.5,9.0,1971,6,20
9.83,0,2.2,0.0,17.2,0.0,10.5,9.0,1971,6,21
6.04,0,0.0,0.0,18.3,0.0,8.5,4.7,1971,6,22
3.83,0,0.0,0.0,17.4,0.0,12.0,10.5,1971,6,23
5.79,0,0.5,0.0,19.5,0.0,9.3,6.2,1971,6,24
6.71,0,2.4,0.0,20.7,0.0,13.6,13.0,1971,6,25
12.92,0,2.2,0.0,17.1,0.0,12.2,10.0,1971,6,26
10.21,0,3.0,0.0,16.5,0.0,8.2,6.1,1971,6,27
6.75,4,0.0,0.0,18.3,0.0,7.9,6.0,1971,6,28
3.79,0,0.0,0.0,19.4,0.0,10.0,6.2,1971,6,29
3.71,0,0.5,0.0,20.4,0.0,13.5,12.2,1971,6,30
3.37,4,0.0,0.0,22.4,0.0,15.0,12.8,1971,7,2
5.17,0,6.1,0.0,23.8,0.0,14.1,12.2,1971,7,3
2.37,0,3.0,0.0,20.4,0.0,15.0,14.2,1971,7,4
3.88,0,0.0,0.0,19.2,0.0,10.0,7.0,1971,7,5
3.63,0,0.0,0.0,21.0,0.0,11.0,8.2,1971,7,6
5.09,0,0.0,0.0,23.6,0.0,9.6,6.9,1971,7,7
6.54,0,0.1,0.0,24.7,0.0,14.4,10.5,1971,7,8
6.21,0,0.0,0.0,20.0,0.0,11.8,11.2,1971,7,9
3.83,0,0.0,0.0,21.2,0.0,7.5,8.5,1971,7,10
8.29,0,0.0,0.0,24.6,0.0,13.2,9.0,1971,7,11
9.46,0,0.0,0.0,18.7,0.0,11.5,10.6,1971,7,12
4.83,0,0.0,0.0,18.9,0.0,7.0,3.0,1971,7,13
8.04,0,0.0,0.0,18.7,0.0,11.8,11.0,1971,7,14
12.67,0,0.0,0.0,22.5,0.0,12.7,12.9,1971,7,15
8.5,0,0.0,0.0,17.1,0.0,11.1,10.3,1971,7,16
6.5,0,0.0,0.0,17.9,0.0,5.6,1.5,1971,7,17
4.79,0,0.0,0.0,18.4,0.0,9.5,5.0,1971,7,18
7.38,0,0.0,0.0,19.0,0.0,9.5,9.1,1971,7,19
4.58,0,0.0,0.0,20.0,0.0,9.1,5.9,1971,7,20
4.5,0,0.0,0.0,21.0,0.0,13.4,11.5,1971,7,21
7.25,0,0.5,0.0,18.2,0.0,13.5,10.0,1971,7,22
7.17,0,18.2,0.0,18.2,0.0,14.2,13.0,1971,7,23
7.5,0,12.2,0.0,19.0,0.0,14.0,14.0,1971,7,24
